invoice_id,order_id,vendor_name,invoice_amount,tax_amount,net_total,invoice_date,due_date,status
INV-2026-1001,ord_live_1001,BillDesk Technology Services,10024.0,1804.32,11828.32,2026-07-14 13:47:06,2026-08-13 13:47:06,ISSUED
INV-2026-1002,ord_live_1002,BillDesk Technology Services,160.0,28.8,188.8,2026-07-05 15:14:32,2026-08-04 15:14:32,ISSUED
INV-2026-1003,ord_live_1003,Cashfree Payments India Pvt Ltd,1429.0,257.22,1686.22,2026-08-14 02:26:14,2026-09-13 02:26:14,ISSUED
INV-2026-1004,ord_live_1004,Paytm Payments Bank Ltd,1879.0,338.22,2217.2200000000003,2026-06-30 14:44:27,2026-07-30 14:44:27,ISSUED
INV-2026-1005,ord_live_1005,BillDesk Technology Services,1662.0,299.16,1961.16,2026-07-21 12:05:24,2026-08-20 12:05:24,ISSUED
INV-2026-1006,ord_live_1006,Razorpay Software Private Limited,59565.0,10721.7,70286.7,2026-07-16 10:46:29,2026-08-15 10:46:29,ISSUED
INV-2026-1007,ord_live_1007,Razorpay Software Private Limited,699.0,125.82,824.8199999999999,2026-08-10 04:56:55,2026-09-09 04:56:55,ISSUED
INV-2026-1008,ord_live_1008,Paytm Payments Bank Ltd,241.0,43.38,284.38,2026-07-03 06:14:49,2026-08-02 06:14:49,ISSUED
INV-2026-1009,ord_live_1009,BillDesk Technology Services,26619.0,4791.42,31410.42,2026-07-24 17:29:40,2026-08-23 17:29:40,ISSUED
INV-2026-1010,ord_live_1010,Paytm Payments Bank Ltd,528.0,95.04,623.04,2026-08-11 17:44:59,2026-09-10 17:44:59,ISSUED
INV-2026-1011,ord_live_1011,Paytm Payments Bank Ltd,19502.0,3510.36,23012.36,2026-08-15 16:10:29,2026-09-14 16:10:29,ISSUED
INV-2026-1012,ord_live_1012,BillDesk Technology Services,148001.0,26640.18,174641.18,2026-07-15 06:20:53,2026-08-14 06:20:53,ISSUED
INV-2026-1013,ord_live_1013,PhonePe Merchant Services,72759.0,13096.62,85855.62,2026-07-20 21:17:04,2026-08-19 21:17:04,ISSUED
INV-2026-1014,ord_live_1014,Paytm Payments Bank Ltd,40622.0,7311.96,47933.96,2026-07-14 05:31:25,2026-08-13 05:31:25,ISSUED
INV-2026-1015,ord_live_1015,Paytm Payments Bank Ltd,604.0,108.72,712.72,2026-08-17 02:34:16,2026-09-16 02:34:16,ISSUED
INV-2026-1016,ord_live_1016,PhonePe Merchant Services,548.0,98.64,646.64,2026-07-09 01:31:05,2026-08-08 01:31:05,ISSUED
INV-2026-1017,ord_live_1017,Razorpay Software Private Limited,426.0,76.68,502.68,2026-08-20 06:27:38,2026-09-19 06:27:38,ISSUED
INV-2026-1018,ord_live_1018,Cashfree Payments India Pvt Ltd,1057.0,190.26,1247.26,2026-08-02 17:35:55,2026-09-01 17:35:55,ISSUED
INV-2026-1019,ord_live_1019,BillDesk Technology Services,19595.0,3527.1,23122.1,2026-08-17 17:49:41,2026-09-16 17:49:41,ISSUED
INV-2026-1020,ord_live_1020,BillDesk Technology Services,422.0,75.96,497.96,2026-07-29 09:46:56,2026-08-28 09:46:56,ISSUED
INV-2026-1021,ord_live_1021,PhonePe Merchant Services,18635.0,3354.3,21989.3,2026-07-07 05:19:53,2026-08-06 05:19:53,ISSUED
INV-2026-1022,ord_live_1022,Cashfree Payments India Pvt Ltd,429.0,77.22,506.22,2026-08-04 01:58:00,2026-09-03 01:58:00,ISSUED
INV-2026-1023,ord_live_1023,Paytm Payments Bank Ltd,842.0,151.56,993.56,2026-07-19 16:03:15,2026-08-18 16:03:15,ISSUED
INV-2026-1024,ord_live_1024,BillDesk Technology Services,4267.0,768.06,5035.0599999999995,2026-08-18 02:49:08,2026-09-17 02:49:08,ISSUED
INV-2026-1025,ord_live_1025,PhonePe Merchant Services,7410.0,1333.8,8743.8,2026-07-17 01:55:38,2026-08-16 01:55:38,ISSUED
INV-2026-1026,ord_live_1026,PhonePe Merchant Services,69497.0,12509.46,82006.45999999999,2026-08-16 07:12:45,2026-09-15 07:12:45,ISSUED
INV-2026-1027,ord_live_1027,PhonePe Merchant Services,123945.0,22310.1,146255.1,2026-07-29 01:28:07,2026-08-28 01:28:07,ISSUED
INV-2026-1028,ord_live_1028,Paytm Payments Bank Ltd,142.0,25.56,167.56,2026-08-07 02:14:37,2026-09-06 02:14:37,ISSUED
INV-2026-1029,ord_live_1029,Razorpay Software Private Limited,1391.0,250.38,1641.38,2026-07-03 16:04:57,2026-08-02 16:04:57,ISSUED
INV-2026-1030,ord_live_1030,Cashfree Payments India Pvt Ltd,586.0,105.48,691.48,2026-07-18 06:31:13,2026-08-17 06:31:13,ISSUED
INV-2026-1031,ord_live_1031,Cashfree Payments India Pvt Ltd,57423.0,10336.14,67759.14,2026-08-06 00:15:50,2026-09-05 00:15:50,ISSUED
INV-2026-1032,ord_live_1032,Cashfree Payments India Pvt Ltd,297.0,53.46,350.46,2026-08-11 22:22:27,2026-09-10 22:22:27,ISSUED
INV-2026-1033,ord_live_1033,Paytm Payments Bank Ltd,23550.0,4239.0,27789.0,2026-08-13 05:41:06,2026-09-12 05:41:06,ISSUED
INV-2026-1034,ord_live_1034,PhonePe Merchant Services,5580.0,1004.4,6584.4,2026-07-15 15:12:34,2026-08-14 15:12:34,ISSUED
INV-2026-1035,ord_live_1035,Razorpay Software Private Limited,669.0,120.42,789.42,2026-07-29 16:55:59,2026-08-28 16:55:59,ISSUED
INV-2026-1036,ord_live_1036,Razorpay Software Private Limited,56066.0,10091.88,66157.88,2026-07-06 10:41:34,2026-08-05 10:41:34,ISSUED
INV-2026-1037,ord_live_1037,BillDesk Technology Services,35491.0,6388.38,41879.38,2026-07-10 22:31:30,2026-08-09 22:31:30,ISSUED
INV-2026-1038,ord_live_1038,Cashfree Payments India Pvt Ltd,30789.0,5542.02,36331.020000000004,2026-07-24 09:24:16,2026-08-23 09:24:16,ISSUED
INV-2026-1039,ord_live_1039,Cashfree Payments India Pvt Ltd,1595.0,287.1,1882.1,2026-08-20 02:42:45,2026-09-19 02:42:45,ISSUED
INV-2026-1040,ord_live_1040,Paytm Payments Bank Ltd,544.0,97.92,641.92,2026-07-04 03:47:34,2026-08-03 03:47:34,ISSUED
INV-2026-1041,ord_live_1041,BillDesk Technology Services,201.0,36.18,237.18,2026-08-07 00:32:58,2026-09-06 00:32:58,ISSUED
INV-2026-1042,ord_live_1042,Paytm Payments Bank Ltd,85501.0,15390.18,100891.18,2026-07-11 11:38:04,2026-08-10 11:38:04,ISSUED
INV-2026-1043,ord_live_1043,BillDesk Technology Services,1922.0,345.96,2267.96,2026-08-05 16:37:38,2026-09-04 16:37:38,ISSUED
INV-2026-1044,ord_live_1044,PhonePe Merchant Services,1445.0,260.1,1705.1,2026-08-07 03:33:20,2026-09-06 03:33:20,ISSUED
INV-2026-1045,ord_live_1045,BillDesk Technology Services,12295.0,2213.1,14508.1,2026-07-15 17:25:08,2026-08-14 17:25:08,ISSUED
INV-2026-1046,ord_live_1046,Razorpay Software Private Limited,1638.0,294.84,1932.84,2026-07-04 09:29:39,2026-08-03 09:29:39,ISSUED
INV-2026-1047,ord_live_1047,Paytm Payments Bank Ltd,18576.0,3343.68,21919.68,2026-07-16 13:59:22,2026-08-15 13:59:22,ISSUED
INV-2026-1048,ord_live_1048,Razorpay Software Private Limited,422.0,75.96,497.96,2026-07-29 02:45:19,2026-08-28 02:45:19,ISSUED
INV-2026-1049,ord_live_1049,Razorpay Software Private Limited,39620.0,7131.6,46751.6,2026-08-11 12:56:08,2026-09-10 12:56:08,ISSUED
