payment_id,order_id,payment_method,payment_amount,fee_amount,tax_amount,status,gateway_ref,transaction_time,settlement_status
pay_live_1001,ord_live_1001,CARD,384.0,7.68,1.38,CAPTURED,gw_ref_382154,2026-08-16 12:45:42,SETTLED
pay_live_1002,ord_live_1001,CARD,384.0,7.68,1.38,CAPTURED,gw_ref_dup_783238,2026-08-16 12:47:42,SETTLED
pay_live_1003,ord_live_1002,UPI,290.0,0.0,0.0,CAPTURED,gw_ref_918207,2026-07-13 16:32:58,SETTLED
pay_live_1004,ord_live_1002,UPI,290.0,0.0,0.0,CAPTURED,gw_ref_dup_904858,2026-07-13 16:34:58,SETTLED
pay_live_1005,ord_live_1003,CARD,19856.0,397.12,71.48,CAPTURED,gw_ref_238741,2026-07-26 16:32:49,SETTLED
pay_live_1006,ord_live_1003,CARD,19856.0,397.12,71.48,CAPTURED,gw_ref_dup_778818,2026-07-26 16:34:49,SETTLED
pay_live_1007,ord_live_1004,UPI,7231.0,0.0,0.0,CAPTURED,gw_ref_334639,2026-08-13 22:21:31,SETTLED
pay_live_1008,ord_live_1004,UPI,7231.0,0.0,0.0,CAPTURED,gw_ref_dup_364650,2026-08-13 22:23:31,SETTLED
pay_live_1009,ord_live_1005,CARD,877.0,17.54,3.16,CAPTURED,gw_ref_847362,2026-07-06 20:57:08,SETTLED
pay_live_1010,ord_live_1005,CARD,877.0,17.54,3.16,CAPTURED,gw_ref_dup_843826,2026-07-06 20:59:08,SETTLED
pay_live_1011,ord_live_1006,CARD,19571.0,391.42,70.46,CAPTURED,gw_ref_494763,2026-07-07 21:09:21,SETTLED
pay_live_1012,ord_live_1006,CARD,19571.0,391.42,70.46,CAPTURED,gw_ref_dup_992952,2026-07-07 21:11:21,SETTLED
pay_live_1013,ord_live_1007,UPI,13850.0,0.0,0.0,CAPTURED,gw_ref_328808,2026-08-05 15:47:23,SETTLED
pay_live_1014,ord_live_1007,UPI,13850.0,0.0,0.0,CAPTURED,gw_ref_dup_589368,2026-08-05 15:49:23,SETTLED
pay_live_1015,ord_live_1008,UPI,4614.0,0.0,0.0,CAPTURED,gw_ref_964352,2026-07-14 12:28:53,SETTLED
pay_live_1016,ord_live_1008,UPI,4614.0,0.0,0.0,CAPTURED,gw_ref_dup_753898,2026-07-14 12:30:53,SETTLED
pay_live_1017,ord_live_1009,UPI,826.0,0.0,0.0,CAPTURED,gw_ref_107704,2026-07-14 06:18:46,SETTLED
pay_live_1018,ord_live_1009,UPI,826.0,0.0,0.0,CAPTURED,gw_ref_dup_636361,2026-07-14 06:20:46,SETTLED
pay_live_1019,ord_live_1010,WALLET,1592.0,23.88,4.3,CAPTURED,gw_ref_688730,2026-07-15 14:32:45,SETTLED
